Kolera (cholera)|A00
Tuberkulose i åndedrettsorganer, bakteriologisk og histologisk bekreftet|A15
tbc|A15
Tuberkulose|A15-A19
tbc|A15-A19
Lungetuberkulose bekreftet ved mikroskopi av sputum med eller uten kultur|A15.0
tbc|A15.0
Lungetuberkulose, kun bekreftet ved kultur|A15.1
tbc|A15.1
Lungetuberkulose, histologisk bekreftet|A15.2
tbc|A15.2
Lungetuberkulose, bekreftet på ikke angitt måte|A15.3
tbc|A15.3
Tuberkulose i intratorakale lymfeknuter, bakteriologisk og histologisk bekreftet|A15.4
glandel|A15.4
intrathoracal|A15.4
tbc|A15.4
thoracal|A15.4
Tuberkulose i strupehode, glottis, luftrør og bronkie, bakteriologisk og histologisk bekreftet|A15.5
tbc|A15.5
trakea|A15.5
Tuberkuløs pleuritt , bakteriologisk og histologisk bekreftet|A15.6
brysthinnebetennelse|A15.6
plevritt|A15.6
Primær tuberkulose i åndedrettsorganer, bakteriologisk og histologisk bekreftet|A15.7
tbc|A15.7
Annen spesifisert tuberkulose i åndedrettsorganer, bakteriologisk og histologisk bekreftet|A15.8
tbc|A15.8
Uspesifisert tuberkulose i åndedrettsorganer, bakteriologisk og histologisk bekreftet|A15.9
tbc|A15.9
Tuberkulose i åndedrettsorganer, ikke bekreftet bakteriologisk eller histologisk|A16
tbc|A16
Lungetuberkulose, bakteriologisk og histologisk negativ|A16.0
tbc|A16.0
Lungetuberkulose, bakteriologisk og histologisk undersøkelse ikke utført|A16.1
tbc|A16.1
Lungetuberkulose, bakteriologisk eller histologisk bekreftelse ikke nevnt|A16.2
lunge tbc|A16.2
lunge-tbc|A16.2
lungetbc|A16.2
lungetuberkulose|A16.2
pneumonia caseosa|A16.2
pulmonal tuberkulose|A16.2
tbc|A16.2
tuberkulose i lunge|A16.2
tuberkuløs pneumoni|A16.2
Tuberkulose i intratorakale lymfeknuter, bakteriologisk eller histologisk bekreftelse ikke nevnt|A16.3
glandel|A16.3
intrathoracal|A16.3
tbc|A16.3
thoracal|A16.3
Tuberkulose i strupehode, luftrør og bronkie, bakteriologisk eller histologisk bekreftelse ikke nevnt|A16.4
tbc|A16.4
trakea|A16.4
Tuberkuløs pleuritt, bakteriologisk eller histologisk bekreftelse ikke nevnt|A16.5
brysthinnebetennelse|A16.5
plevritt|A16.5
tbc i pleura|A16.5
tbc pleura|A16.5
tuberkulose i pleura|A16.5
tuberkuløs pleuritt|A16.5
tuberkuløst empyem|A16.5
Primær tuberkulose i åndedrettsorganer, bakteriologisk eller histologisk bekreftelse ikke nevnt|A16.7
tbc|A16.7
Annen spesifisert tuberkulose i åndedrettsorganer, bakteriologisk eller histologisk bekreftelse ikke nevnt|A16.8
tbc|A16.8
Uspesifisert tuberkulose i åndedrettsorganer, bakteriologisk eller histologisk bekreftelse ikke nevnt|A16.9
tbc|A16.9
tuberkulose|A16.9
Tuberkulose i nervesystemet|A17†
tbc|A17†
Tuberkuløs meningitt (G01*)|A17.0†
hjernehinnebetennelse|A17.0†
tbc-meningitt|A17.0†
tuberkuløs meningitt|A17.0†
Meningealt tuberkulom (G07*)|A17.1†
meningal|A17.1†
Annen spesifisert tuberkulose i nervesystemet|A17.8†
tbc|A17.8†
Uspesifisert tuberkulose i nervesystemet (G99.8*)|A17.9†
tbc|A17.9†
Tuberkulose i andre organer|A18
tbc|A18
Tuberkulose i ben og ledd|A18.0†
bein|A18.0†
tbc|A18.0†
Tuberkulose i urin- og kjønnsorganer|A18.1†
tbc|A18.1†
Tuberkuløs sykdom i perifere lymfeknuter|A18.2
glandel|A18.2
Tuberkulose i tarmer, bukhinne og lymfeknuter i mesenterium|A18.3
glandel|A18.3
tbc|A18.3
tuberkulose i tarm|A18.3
Tuberkulose i hud og underhudsvev|A18.4
cutan|A18.4
kutan|A18.4
tbc|A18.4
Tuberkulose i øye|A18.5†
tbc|A18.5†
Tuberkulose i øre|A18.6†
tbc|A18.6†
Tuberkulose i binyrer(E35.1*)|A18.7†
tbc|A18.7†
Tuberkulose i andre spesifiserte organer|A18.8†
tbc|A18.8†
Miliærtuberkulose|A19
tbc|A19
Akutt miliærtuberkulose, én enkelt spesifisert lokalisasjon|A19.0
tbc|A19.0
Akutt miliærtuberkulose, flere lokalisasjoner|A19.1
tbc|A19.1
Uspesifisert akutt miliærtuberkulose|A19.2
miliær tbc|A19.2
miliær tuberkulose|A19.2
miliærtuberkulose|A19.2
tbc|A19.2
Annen spesifisert miliærtuberkulose|A19.8
tbc|A19.8
Uspesifisert miliærtuberkulose|A19.9
tbc|A19.9
Pest (pestis)|A20
pestis|A20
Visse bakterielle zoonoser|A20-A28
Bubonpest|A20.0
pestis|A20.0
Hudpest|A20.1
cutan|A20.1
kutan|A20.1
pestis|A20.1
Lungepest|A20.2
pestis|A20.2
Pestmeningitt|A20.3
hjernehinnebetennelse|A20.3
pestis|A20.3
Sepsispest|A20.7
blodforgiftning|A20.7
pestis|A20.7
Annen spesifisert pest|A20.8
pestis|A20.8
Uspesifisert pest|A20.9
pestis|A20.9
Tularemi|A21
Ulceroglandulær tularemi|A21.0
Okuloglandulær tularemi|A21.1
Pulmonal tularemi|A21.2
lunge|A21.2
Gastrointestinal tularemi|A21.3
Generalisert tularemi|A21.7
Annen spesifisert tularemi|A21.8
Uspesifisert tularemi|A21.9
Miltbrann (anthrax)|A22
anthrax|A22
Hudmiltbrann|A22.0
anthrax|A22.0
cutan|A22.0
kutan|A22.0
Lungemiltbrann|A22.1
anthrax|A22.1
Gastrointestinal miltbrann|A22.2
anthrax|A22.2
Miltbrannsepsis|A22.7
anthrax|A22.7
blodforgiftning|A22.7
Annen spesifisert miltbrann|A22.8
anthrax|A22.8
Uspesifisert miltbrann|A22.9
anthrax|A22.9
Brucellose|A23
Brucellose som skyldes Brucella melitensis|A23.0
Brucellose som skyldes Brucella abortus|A23.1
Brucellose som skyldes Brucella suis|A23.2
Brucellose som skyldes Brucella canis|A23.3
Annen spesifisert brucellose|A23.8
Uspesifisert brucellose|A23.9
Snive og melioidose|A24
melioidosis|A24
psevdomalleus|A24
Snive|A24.0
Akutt og fulminant melioidose|A24.1
melioidosis|A24.1
psevdomalleus|A24.1
Subakutt og kronisk melioidose|A24.2
melioidosis|A24.2
psevdomalleus|A24.2
Annen melioidose|A24.3
melioidosis|A24.3
psevdomalleus|A24.3
Uspesifisert melioidose|A24.4
melioidosis|A24.4
psevdomalleus|A24.4
Rottebittfeber|A25
Spirillose|A25.0
Streptobasillose|A25.1
Uspesifisert rottebittfeber|A25.9
Erysipeloid|A26
svinerosen|A26
Kutan erysipeloid|A26.0
svinerosen|A26.0
Sepsis som skyldes Erysipelothrix|A26.7
blodforgiftning|A26.7
Annen spesifisert erysipeloid|A26.8
svinerosen|A26.8
Uspesifisert erysipeloid|A26.9
svinerosen|A26.9
Leptospirose|A27
Leptospirosis icterohaemorrhagica|A27.0
Annen spesifisert leptospirose|A27.8
Uspesifisert leptospirose|A27.9
Andre bakterielle zoonoser, ikke klassifisert annet sted|A28
Pasteurellose|A28.0
Katteklorfeber|A28.1
Ekstraintestinal yersiniose|A28.2
Andre spesifiserte bakterielle zoonoser, ikke klassifisert annet sted|A28.8
Uspesifisert bakteriell zoonose|A28.9
Lepra[Hansens sykdom]|A30
hansens sykdom|A30
spedalskhet|A30
Andre bakteriesykdommer|A30-A49
Ubestemt lepra|A30.0
hansens sykdom|A30.0
spedalskhet|A30.0
Tuberkuloid lepra|A30.1
hansens sykdom|A30.1
spedalskhet|A30.1
Tuberkuloid lepra av grensetype|A30.2
grein|A30.2
hansens sykdom|A30.2
spedalskhet|A30.2
Lepra av grensetype|A30.3
grein|A30.3
hansens sykdom|A30.3
spedalskhet|A30.3
Lepromatøs lepra av grensetype|A30.4
grein|A30.4
hansens sykdom|A30.4
spedalskhet|A30.4
Lepromatøs lepra|A30.5
hansens sykdom|A30.5
ll-lepra|A30.5
spedalskhet|A30.5
Annen spesifisert lepra|A30.8
hansens sykdom|A30.8
spedalskhet|A30.8
Uspesifisert lepra|A30.9
hansens sykdom|A30.9
spedalskhet|A30.9
Infeksjon som skyldes andre mykobakterier|A31
Mykobakteriell lungeinfeksjon|A31.0
atypisk mykobakterieinfeksjon i lunge|A31.0
lungemykobakteriose|A31.0
mykobacterium avium lungeinfeksjon|A31.0
mykobacterium intracellulare lungeinfeksjon|A31.0
mykobakteriell lungeaffeksjon|A31.0
mykobakterium avium-pneumoni|A31.0
mykobakterium intracellulare-pneumoni|A31.0
pneumoni med atypiske mykobakterier|A31.0
Mykobakteriell hudinfeksjon|A31.1
cutan|A31.1
kutan|A31.1
Andre spesifiserte infeksjoner som skyldes mykobakterier|A31.8
Uspesifisert infeksjon som skyldes mykobakterier|A31.9
atypisk mykobakterieinfeksjon|A31.9
atypisk mykobakteriose|A31.9
mykobakterieinfeksjon|A31.9
mykobakteriose|A31.9
Listeriose|A32
dreiesyke|A32
Hudlisteriose|A32.0
cutan|A32.0
dreiesyke|A32.0
kutan|A32.0
Meningitt  og meningoencefalitt som skyldes Listeria|A32.1†
betennelse i hjerne|A32.1†
encephalitis|A32.1†
hjernebetennelse|A32.1†
hjernehinnebetennelse|A32.1†
listeriameningitt|A32.1†
Listeriasepsis|A32.7
blodforgiftning|A32.7
Annen spesifisert listeriose|A32.8
dreiesyke|A32.8
Uspesifisert listeriose|A32.9
dreiesyke|A32.9
Stivkrampe hos nyfødt (tetanus neonatorum)|A33
tetanus|A33
Stivkrampe etter fødsel|A34
tetanus|A34
Annen stivkrampe (tetanus)|A35
tetanus|A35
Difteri|A36
Svelgdifteri|A36.0
farynks|A36.0
Difteri i nasopharynx|A36.1
nasofarynks|A36.1
nesesvelg|A36.1
Larynksdifteri|A36.2
Kutan difteri|A36.3
Annen spesifisert difteri|A36.8
Uspesifisert difteri|A36.9
Kikhoste|A37
Kikhoste som skyldes Bordetella pertussis|A37.0
Kikhoste som skyldes Bordetella parapertussis|A37.1
Kikhoste som skyldes andre spesifiserte bordetella-arter|A37.8
Uspesifisert kikhoste|A37.9
Skarlagensfeber|A38
scarlatina|A38
Meningokokkinfeksjon|A39
Meningokokkmeningitt (G01*)|A39.0†
hjernehinnebetennelse|A39.0†
meningokokkmeningitt|A39.0†
Waterhouse-Friderichsens syndrom (E35.1*)|A39.1†
waterhouse-friderichsens syndrom|A39.1†
Akutt meningokokkemi|A39.2
Kronisk meningokokkemi|A39.3
Uspesifisert meningokokkemi|A39.4
meningokokksepsis|A39.4
Hjertesykdom forårsaket av Meningococcus|A39.5†
Andre spesifiserte meningokokkinfeksjoner|A39.8
Uspesifisert meningokokkinfeksjon|A39.9
Streptokokksepsis|A40
blodforgiftning|A40
streptococc|A40
Sepsis som skyldes Streptococcus, serogruppe A|A40.0
betahemolytisk streptokokk a sepsis|A40.0
blodforgiftning|A40.0
sepsis betahemolytiske streptokokker gruppe a|A40.0
sepsis streptokokker gruppe a|A40.0
streptokokk a sepsis|A40.0
Sepsis som skyldes Streptococcus, serogruppe B|A40.1
blodforgiftning|A40.1
Sepsis som skyldes Streptococcus, serogruppe D|A40.2
blodforgiftning|A40.2
Sepsis som skyldes Streptococcus pneumoniae|A40.3
blodforgiftning|A40.3
lungebetennelse|A40.3
pneumokokksepsis|A40.3
sepsis pneumokokker|A40.3
Annen spesifisert streptokokksepsis|A40.8
blodforgiftning|A40.8
streptococc|A40.8
Uspesifisert streptokokksepsis|A40.9
blodforgiftning|A40.9
streptococc|A40.9
streptokokksepsis|A40.9
Annen sepsis|A41
blodforgiftning|A41
Sepsis som skyldes Staphylococcus aureus|A41.0
blodforgiftning|A41.0
gule stafylokokker|A41.0
sepsis med gule stafylokokker|A41.0
sepsis med s aureus|A41.0
sepsis med staphylococcus aureus|A41.0
staph aureus sepsis|A41.0
staphylococcus aureus-sepsis|A41.0
Sepsis som skyldes andre spesifiserte stafylokokker|A41.1
blodforgiftning|A41.1
stafylococc|A41.1
Sepsis som skyldes uspesifiserte stafylokokker|A41.2
blodforgiftning|A41.2
sepsis med stafylokokker|A41.2
stafylococc|A41.2
stafylokokk sepsis|A41.2
stafylokokksepsis|A41.2
Sepsis som skyldes Haemophilus influenzae|A41.3
blodforgiftning|A41.3
haemophilus influenzae-sepsis|A41.3
haemophilus-sepsis|A41.3
hemofilus-sepsis|A41.3
Sepsis som skyldes anaerobe bakterier|A41.4
blodforgiftning|A41.4
clostridiumsepsis|A41.4
Sepsis som skyldes andre gram-negative organismer|A41.5
blodforgiftning|A41.5
colisepsis|A41.5
e coli sepsis|A41.5
e colisepsis|A41.5
enterokokksepsis|A41.5
gram negativ sepsis|A41.5
gramnegativ sepsis|A41.5
klebsiellasepsis|A41.5
proteus mirabilis-sepsis|A41.5
pseudomonassepsis|A41.5
sepsis coli|A41.5
sepsis e coli|A41.5
sepsis enterobacter|A41.5
sepsis enteroccus faecium|A41.5
sepsis gramnegative staver|A41.5
Annen spesifisert sepsis|A41.8
bacillussepsis|A41.8
blodforgiftning|A41.8
grampositiv sepsis|A41.8
listeriasepsis|A41.8
morganella morgani-sepsis|A41.8
pasteurella multocida-sepsis|A41.8
sepsis grampositive kokker|A41.8
Uspesifisert sepsis|A41.9
blodforgiftning|A41.9
sepsis|A41.9
septikemi|A41.9
septisk feber|A41.9
septisk gangren|A41.9
septisk metastase|A41.9
septisk påvirkning|A41.9
septisk sjokk|A41.9
septisk syndrom|A41.9
Aktinomykose|A42
actinomycosis|A42
Pulmonal aktinomykose|A42.0
actinomycosis|A42.0
lunge|A42.0
Abdominal aktinomykose|A42.1
actinomycosis|A42.1
Cervikofacial aktinomykose|A42.2
actinomycosis|A42.2
Aktinomykotisk sepsis|A42.7
blodforgiftning|A42.7
Annen spesifisert aktinomykose|A42.8
actinomycosis|A42.8
Uspesifisert aktinomykose|A42.9
actinomycosis|A42.9
Nokardiose|A43
Pulmonal nokardiose|A43.0
lunge|A43.0
Kutan nokardiose|A43.1
Annen spesifisert nokardiose|A43.8
Uspesifisert nokardiose|A43.9
Bartonellose [Carrions sykdom]|A44
carrions sykdom|A44
Systemisk bartonellose|A44.0
carrions sykdom|A44.0
Kutan og mukokutan bartonellose|A44.1
carrions sykdom|A44.1
Annen spesifisert bartonellose|A44.8
carrions sykdom|A44.8
Uspesifisert bartonellose|A44.9
carrions sykdom|A44.9
Erysipelas[Rosen]|A46
erysipelas|A46
erysipelas i ben|A46
erysipelas i legg|A46
rosen|A46
rosen i ben|A46
Andre bakteriesykdommer, ikke klassifisert annet sted|A48
Gassgangren|A48.0
clostridium difficile-infeksjon|A48.0
clostridium difficileinfeksjon|A48.0
clostridium perfringens-gangren|A48.0
gassgangren|A48.0
grein|A48.0
koldbrann|A48.0
Legionærsykdom|A48.1
legionella pneumofila-pneumoni|A48.1
legionellapneumoni|A48.1
legionellosis|A48.1
legionærsykdom|A48.1
Legionærsykdom  uten pneumoni [Pontiac-feber]|A48.2
legionellosis|A48.2
lungebetennelse|A48.2
Toksisk sjokksyndrom (TSS)|A48.3
mods|A48.3
mof|A48.3
sirs|A48.3
toksisk sjokksyndrom|A48.3
toxic shock syndrome|A48.3
Brasiliansk purpura fulminans|A48.4
Andre spesifiserte bakteriesykdommer|A48.8
Bakterieinfeksjon med uspesifisert lokalisasjon|A49
Stafylokokkinfeksjon med uspesifisert lokalisasjon|A49.0
mrsa-infeksjon|A49.0
multiresistent stafylokokkinfeksjon|A49.0
staf aureusinfeksjon|A49.0
stafylococc|A49.0
stafylokokkinfeksjon|A49.0
staphylococcus aureus-infeksjon|A49.0
Streptokokkinfeksjon med uspesifisert lokalisasjon|A49.1
pneumokokkinfeksjon|A49.1
streptococc|A49.1
Infeksjon med uspesifisert lokalisasjon som skyldes Haemophilus influenzaeHaemophilus influenzae|A49.2
Mykoplasmainfeksjon med uspesifisert lokalisasjon|A49.3
Andre bakterieinfeksjoner med uspesifisert lokalisasjon|A49.8
clostridieinfeksjon|A49.8
clostridiuminfeksjon|A49.8
e coli-infeksjon|A49.8
gramnegativ bakteriemi|A49.8
klebsiellainfeksjon|A49.8
pseudomonas aeruginosa-infeksjon|A49.8
pseudomonasinfeksjon|A49.8
Uspesifisert bakterieinfeksjon|A49.9
bakteremi|A49.9
bakterieinfeksjon|A49.9
bakteriell infeksjon|A49.9
bakteriemi|A49.9
bakterier i blodbanen|A49.9
bakterier i blodet|A49.9
Medfødt syfilis (lues congenita)|A50
congenitt|A50
kongenitt|A50
lues|A50
Hovedsakelig seksuelt overførbare infeksjoner|A50-A64
Tidlig medfødt syfilis, symptomgivende|A50.0
congenitt|A50.0
kongenitt|A50.0
lues|A50.0
Tidlig medfødt syfilis, latent|A50.1
congenitt|A50.1
kongenitt|A50.1
lues|A50.1
Tidlig medfødt syfilis, uspesifisert|A50.2
congenitt|A50.2
kongenitt|A50.2
lues|A50.2
Øyesykdom ved sen medfødt syfilis|A50.3
congenitt|A50.3
kongenitt|A50.3
lues|A50.3
Medfødt nevrosyfilis[juvenil nevrosyfilis]|A50.4
congenitt|A50.4
kongenitt|A50.4
lues|A50.4
neuro|A50.4
neurosyfilis|A50.4
Annen sen medfødt syfilis med symptomer eller stigmata|A50.5
congenitt|A50.5
kongenitt|A50.5
lues|A50.5
Sen medfødt syfilis, latent|A50.6
congenitt|A50.6
kongenitt|A50.6
lues|A50.6
Sen medfødt syfilis, uspesifisert|A50.7
congenitt|A50.7
kongenitt|A50.7
lues|A50.7
Uspesifisert medfødt syfilis|A50.9
congenitt|A50.9
kongenitt|A50.9
lues|A50.9
Tidlig syfilis|A51
lues|A51
Primær genital syfilis|A51.0
lues|A51.0
Primær anal syfilis|A51.1
lues|A51.1
Primær syfilis med annen lokalisasjon|A51.2
lues|A51.2
Sekundær syfilis i hud og slimhinner|A51.3
cutan|A51.3
kutan|A51.3
lues|A51.3
Annen sekundær syfilis|A51.4
lues|A51.4
Tidlig latent syfilis|A51.5
lues|A51.5
Uspesifisert tidlig syfilis|A51.9
lues|A51.9
Sensyfilis|A52
lues|A52
Kardiovaskulær syfilis|A52.0†
lues|A52.0†
Symptomgivende nevrosyfilis|A52.1
lues|A52.1
neuro|A52.1
neurosyfilis|A52.1
Asymptomatisk nevrosyfilis|A52.2
lues|A52.2
neuro|A52.2
neurosyfilis|A52.2
Uspesifisert nevrosyfilis|A52.3
lues|A52.3
neuro|A52.3
neurosyfilis|A52.3
Annen symptomgivende sensyfilis|A52.7
lues|A52.7
Latent sensyfilis|A52.8
lues|A52.8
Uspesifisert sensyfilis|A52.9
lues|A52.9
Annen og uspesifisert syfilis|A53
lues|A53
Latent syfilis, der debuttidspunkt ikke er spesifisert|A53.0
lues|A53.0
Uspesifisert syfilis|A53.9
lues|A53.9
syfilis|A53.9
Gonokokkinfeksjon|A54
gonococc|A54
gonococcinfeksjon|A54
Gonokokkinfeksjon  i nedre urogenitalsystem uten periuretral abscess eller abscess i tilliggende kjertler|A54.0
gonococc|A54.0
gonococcinfeksjon|A54.0
Gonokokkinfeksjon  i nedre urogenitalsystem med periuretral abscess og abscess i tilliggende kjertel|A54.1
gonococc|A54.1
gonococcinfeksjon|A54.1
Gonokokkpelviperitonitt  og andre gonokokkinfeksjoner i kjønnsorganer og urinveier|A54.2†
bukhinnebetennelse|A54.2†
gonococc|A54.2†
gonococcinfeksjon|A54.2†
peritonitis|A54.2†
Gonokokkinfeksjon  i øye|A54.3
gonococc|A54.3
gonococcinfeksjon|A54.3
Gonokokkinfeksjon  i muskel-skjelettsystem|A54.4†
gonococc|A54.4†
gonococcinfeksjon|A54.4†
Gonokokkfaryngitt|A54.5
gonococc|A54.5
pharyngitis|A54.5
svelgbetennelse|A54.5
Gonokokkinfeksjon  i endetarmsåpning og endetarm|A54.6
gonococc|A54.6
gonococcinfeksjon|A54.6
rektum|A54.6
Andre spesifiserte gonokokkinfeksjoner|A54.8
gonococc|A54.8
gonococcinfeksjon|A54.8
Uspesifisert gonokokkinfeksjon|A54.9
gonococc|A54.9
gonococcinfeksjon|A54.9
Klamydialymfogranulom(venereum)|A55
lgv|A55
Andre seksuelt overførte klamydiasykdommer|A56
Klamydiainfeksjon i nedre urogenitalsystem|A56.0
Klamydiainfeksjon i urin- og kjønnsorganer eller pelviperitoneum|A56.1†
bekkenbukhinne|A56.1†
Uspesifisert klamydiainfeksjon i kjønnsorganer og urinveier|A56.2
Klamydiainfeksjon i endetarmsåpning (anus), analkanal (canalis analis) og endetarm (rectum)|A56.3
rektum|A56.3
Klamydiainfeksjon i svelg (pharynx)|A56.4
farynks|A56.4
Seksuelt overført klamydiainfeksjon med annen spesifisert lokalisasjon|A56.8
Bløt  sjanker|A57
blaut|A57
Granuloma inguinale|A58
Trikomonasinfeksjon|A59
Urogenital trikomonasinfeksjon|A59.0
Trikomonasinfeksjon med annen spesifisert lokalisasjon|A59.8
Uspesifisert trikomonasinfeksjon|A59.9
Anogenital herpesvirusinfeksjon [herpes simplex]-infeksjon|A60
herpes|A60
Herpesvirusinfeksjon i kjønnsorganer og urinveier|A60.0
herpes|A60.0
Herpesvirusinfeksjon i hud omkring endetarmsåpning, i analkanal og endetarm|A60.1
cutan|A60.1
herpes|A60.1
kutan|A60.1
rektum|A60.1
Uspesifisert anogenital herpesvirusinfeksjon|A60.9
herpes|A60.9
Andre hovedsakelig seksuelt overførbare sykdommer, ikke klassifisert annet sted|A63
Anogenitale (veneriske) vorter|A63.0
Andre spesifiserte hovedsakelig seksuelt overførbare sykdommer|A63.8
Uspesifiserte seksuelt overførbare sykdommer|A64
Ikke-venerisk syfilis|A65
lues|A65
Andre spiroketsykdommer|A65-A69
«Yaws»|A66
Primære lesjoner  ved «yaws»|A66.0
Multiple papillomer og «wet crab yaws»|A66.1
Andre tidlige hudlesjoner ved «yaws»|A66.2
cutan|A66.2
kutan|A66.2
Hyperkeratose ved «yaws»|A66.3
Gumma og ulcus ved «yaws»|A66.4
Gangosa|A66.5
Knokkel- og leddlesjoner ved «yaws»|A66.6
Andre manifestasjoner ved «yaws»|A66.7
Latent «yaws»|A66.8
Uspesifisert «yaws»|A66.9
Pinta[carate]|A67
Primære lesjoner ved pinta|A67.0
Intermediære lesjoner ved pinta|A67.1
Sene lesjoner ved pinta|A67.2
Blandede lesjoner ved pinta|A67.3
Uspesifisert pinta|A67.9
Tilbakefallsfeber|A68
Tilbakefallsfeber overført ved lus|A68.0
Tilbakefallsfeber overført ved flått|A68.1
Uspesifisert tilbakefallsfeber|A68.9
Andre spiroketinfeksjoner|A69
Nekrotiserende ulcerøs stomatitt|A69.0
munnbetennelse|A69.0
stomatitis|A69.0
Andre Vincent-infeksjoner|A69.1
anug|A69.1
Borreliose|A69.2
ecm|A69.2
em|A69.2
Andre spesifiserte spiroketinfeksjoner|A69.8
Uspesifisert spiroketinfeksjon|A69.9
Chlamydia psittaci-infeksjon|A70
